Method,MAE,RMSE,MAPE% (filtered),OverProv%,UnderProv%,SLA_Viol%
HPA-Reactive,1.2627038955688477,32.8988057670554,0.221028670668602,0.10975121706724167,0.07582372426986694,0.25330754616872336
Static LSTM,547.1600952148438,682.0186489385756,97.10714721679688,63.20478820800781,17.209320068359375,8.292399062077465
Static Hybrid,1348.3629150390625,1877.2599047548,221.31350708007812,27.069469451904297,171.09446716308594,96.6402519383162
Periodic Retrain,420.3350524902344,427.93515863971726,87.06036376953125,58.018218994140625,3.756875514984131,0.6264227155253564
Proposed (EWC+ER),457.5501403808594,474.0009394769171,98.45824432373047,65.88631439208984,1.3581457138061523,0.01711537474112996
