seed,mae,std,ci_lo_95,ci_hi_95
42,456.9790344238281,,,
43,427.663330078125,,,
44,497.7631530761719,,,
45,512.0634155273438,,,
46,413.0523986816406,,,
summary,461.5042663574219,42.96569737724858,408.15530676637445,514.8532259484693
