Variant,Description,MAE,RMSE
A,LSTM-only (no MLP),547.6682739257812,687.1244428777076
B,MLP-only (no LSTM),144.98348999023438,193.77475648288143
C,Hybrid (no CL),422.23089599609375,430.4448280558148
D,Hybrid + EWC only,426.5792236328125,434.4438254826509
E,Hybrid + ER only,450.0843505859375,455.96037039966535
F,Proposed (EWC+ER) [full],457.5501403808594,474.0009394769171
