chunk,mae,rmse,mape
1,2001.2183837890625,3550.4982748904413,54.59918975830078
2,880.5457153320312,1227.944420566338,37.837806701660156
3,312.4611511230469,347.16994217529833,56.032955169677734
4,436.4812927246094,453.04083701141116,143.1161346435547
