timestamp,current_cpu,predicted_cpu,old_replicas,new_replicas,method
2026-06-03T09:51:42.308484Z,0.1402331441640854,0.07048776526667068,1,1,predictive
2026-06-03T08:55:09.038336Z,0.1646369844675064,0.07703664123774526,1,1,predictive
2026-06-03T09:00:08.711866Z,0.16434088349342346,0.06757402128418259,1,1,predictive
2026-06-03T09:05:12.637544Z,0.15946707129478455,0.07932435395193459,1,1,predictive
2026-06-03T09:15:36.658727Z,0.15861107409000397,0.07284877437668989,1,1,predictive
2026-06-03T09:20:13.513764Z,0.16427215933799744,0.14692963974031378,1,2,predictive
2026-06-03T09:25:09.131879Z,0.1621970385313034,0.1107590340791371,2,2,predictive
2026-06-03T09:30:07.822877Z,0.16289518773555756,0.06965510527300706,2,1,predictive
2026-06-03T09:35:11.795325Z,0.08902062475681305,0.07299690344140068,1,1,predictive
2026-06-03T09:40:07.926764Z,0.1646118313074112,0.15452952861949057,1,2,predictive
2026-06-03T09:45:14.139503Z,0.15494298934936523,0.10249113594434588,2,2,predictive
2026-06-03T09:50:09.647144Z,0.16516895592212677,0.07504862305322325,2,1,predictive
2026-06-03T09:55:08.396963Z,0.049926262348890305,0.06811036924410706,1,1,predictive
2026-06-03T10:00:11.917232Z,0.050509240478277206,0.08783195111092622,1,2,predictive
2026-06-03T10:05:09.227509Z,0.05128030851483345,0.09626711434316927,2,2,predictive
2026-06-03T10:10:08.257519Z,0.05085843801498413,0.060790297677489856,2,1,predictive
2026-06-03T10:15:11.187459Z,0.05044706538319588,0.054272430165103386,1,1,predictive
2026-06-03T10:20:08.445347Z,0.03909355401992798,0.06054640759259757,1,1,predictive
2026-06-03T10:25:13.129790Z,0.10230478644371033,0.06931367532545314,1,1,predictive
2026-06-03T10:30:09.042325Z,0.10354527831077576,0.06489052959423897,1,1,predictive
2026-06-03T10:35:10.231039Z,0.09877397119998932,0.11678034849405282,1,2,predictive
2026-06-03T10:40:12.034000Z,0.10317658632993698,0.0600309745078943,2,1,predictive
2026-06-03T10:45:08.021954Z,0.06117973476648331,0.12035415084531226,1,2,predictive
2026-06-03T10:50:07.784278Z,0.16132347285747528,0.1173226528810699,2,2,predictive
2026-06-03T10:55:10.579329Z,0.162181556224823,0.10395944912699635,2,2,predictive
2026-06-03T11:00:10.490613Z,0.16534972190856934,0.14078279564583285,2,2,predictive
2026-06-03T11:05:12.635714Z,0.16275306046009064,0.10188577698183918,2,2,predictive
2026-06-03T11:10:08.084742Z,0.06677074730396271,0.08387638490648337,2,1,predictive
2026-06-03T11:15:08.188384Z,0.1026863157749176,0.11929677722773556,1,2,predictive
2026-06-03T11:20:10.025063Z,0.10253021121025085,0.09244868072265082,2,2,predictive
2026-06-03T11:25:07.534225Z,0.10116526484489441,0.13922586376508028,2,2,predictive
2026-06-03T11:30:12.786400Z,0.10320422798395157,0.11882473711868446,2,2,predictive
2026-06-03T11:35:07.088813Z,0.03912224993109703,0.16695622571208196,2,2,predictive
2026-06-03T11:40:08.722677Z,0.05119142308831215,0.13932801244689502,2,2,predictive
2026-06-03T11:45:09.429247Z,0.05222803354263306,0.10652239728675093,2,2,predictive
2026-06-03T11:50:08.567536Z,0.05177692696452141,0.04904422345082672,2,1,predictive
2026-06-03T11:55:11.032427Z,0.05058147385716438,0.05473924155534919,1,1,predictive
2026-06-03T12:00:08.845194Z,0.05069765821099281,0.06731614302887821,1,1,predictive
