chunk,mae,rmse,mape
1,2632.29638671875,5539.689521985867,207.8749237060547
2,1605.0306396484375,2510.4365158274763,49.433109283447266
3,322.6070556640625,350.52548721526654,56.34416198730469
4,492.771484375,530.5656179964925,144.80874633789062
