LAST SEEN   TYPE      REASON              OBJECT                                 MESSAGE
35m         Normal    Killing             pod/load-generator-fd74b4d9-lpqhh      Stopping container stressor
35m         Normal    Scheduled           pod/load-generator-bd586c8df-vmxw5     Successfully assigned research-workload/load-generator-bd586c8df-vmxw5 to gke-research-autoscaler-default-pool-cc6226da-q6sy
35m         Normal    SuccessfulDelete    replicaset/load-generator-fd74b4d9     Deleted pod: load-generator-fd74b4d9-lpqhh
35m         Normal    Created             pod/load-generator-bd586c8df-bww42     Container created
35m         Normal    Created             pod/load-generator-bd586c8df-njc9r     Container created
35m         Normal    Started             pod/load-generator-bd586c8df-njc9r     Container started
35m         Normal    Started             pod/load-generator-bd586c8df-bww42     Container started
35m         Warning   FailedScheduling    pod/load-generator-bd586c8df-dflmd     0/3 nodes are available: 1 Insufficient memory, 2 Insufficient cpu. no new claims to deallocate, preemption: 0/3 nodes are available: 3 No preemption victims found for incoming pod.
35m         Normal    Killing             pod/load-generator-fd74b4d9-bp4m5      Stopping container stressor
35m         Normal    NotTriggerScaleUp   pod/load-generator-bd586c8df-dflmd     Pod didn't trigger scale-up:
35m         Normal    SuccessfulCreate    replicaset/load-generator-bd586c8df    (combined from similar events): Created pod: load-generator-bd586c8df-dflmd
35m         Normal    SuccessfulDelete    replicaset/load-generator-fd74b4d9     Deleted pod: load-generator-fd74b4d9-bp4m5
35m         Normal    Killing             pod/load-generator-fd74b4d9-txg92      Stopping container stressor
35m         Normal    SuccessfulDelete    replicaset/load-generator-fd74b4d9     Deleted pod: load-generator-fd74b4d9-txg92
35m         Normal    Pulling             pod/load-generator-bd586c8df-gwm78     Pulling image "alexeiled/stress-ng:latest"
35m         Normal    Pulling             pod/load-generator-bd586c8df-r5sdk     Pulling image "alexeiled/stress-ng:latest"
35m         Normal    Scheduled           pod/load-generator-bd586c8df-dflmd     Successfully assigned research-workload/load-generator-bd586c8df-dflmd to gke-research-autoscaler-default-pool-cc6226da-q6sy
35m         Normal    Pulling             pod/load-generator-bd586c8df-vmxw5     Pulling image "alexeiled/stress-ng:latest"
35m         Normal    Pulled              pod/load-generator-bd586c8df-r5sdk     Successfully pulled image "alexeiled/stress-ng:latest" in 3.967s (3.967s including waiting). Image size: 3939132 bytes.
35m         Normal    Pulled              pod/load-generator-bd586c8df-gwm78     Successfully pulled image "alexeiled/stress-ng:latest" in 3.736s (3.736s including waiting). Image size: 3939132 bytes.
