timestamp,current_cpu,predicted_cpu,old_replicas,new_replicas,method
2026-06-05T00:20:20.347465Z,0.12594856321811676,0.14827591354796235,2,2,predictive
2026-06-05T00:25:13.901143Z,0.13146699965000153,0.173192712686699,2,2,predictive
2026-06-05T00:30:17.013083Z,0.14400742948055267,0.16705055826784757,2,2,predictive
2026-06-05T00:35:18.435465Z,0.13626143336296082,0.17429221252846475,2,3,predictive
2026-06-05T00:40:07.529396Z,0.152287557721138,0.17052796622319394,3,2,predictive
2026-06-05T00:45:13.538684Z,0.10068005323410034,0.16401915463616096,2,2,predictive
2026-06-05T00:50:07.854765Z,0.14420156180858612,0.12247737453440516,2,2,predictive
2026-06-05T00:55:20.071387Z,0.12815265357494354,0.16788785403282308,2,2,predictive
2026-06-05T01:00:17.745702Z,0.14414964616298676,0.16672683588861878,2,2,predictive
2026-06-05T01:05:33.533586Z,0.13290981948375702,0.1637818139258547,2,2,predictive
2026-06-05T01:10:14.667158Z,0.13530269265174866,0.17098103201245676,2,2,predictive
2026-06-05T01:15:07.974833Z,0.14417694509029388,0.16666073571918588,2,2,predictive
2026-06-05T01:20:13.162680Z,0.12944746017456055,0.16782551368954143,2,2,predictive
2026-06-05T01:25:07.806276Z,0.14608915150165558,0.09475565075429573,2,2,predictive
2026-06-05T01:30:20.429079Z,0.13330543041229248,0.14759826889558042,2,2,predictive
2026-06-05T01:35:07.706410Z,0.14390002191066742,0.13354451040506443,2,2,predictive
2026-06-05T01:40:18.401355Z,0.13548319041728973,0.12296572069952431,2,2,predictive
2026-06-05T01:45:09.383468Z,0.14478954672813416,0.16143825633865214,2,2,predictive
2026-06-05T01:50:19.781366Z,0.1288459450006485,0.1630392954272648,2,2,predictive
2026-06-05T01:55:18.070611Z,0.12854541838169098,0.1451809702019279,2,2,predictive
2026-06-05T02:00:15.850759Z,0.13354533910751343,0.1514541660168172,2,2,predictive
2026-06-05T02:05:19.126288Z,0.13661307096481323,0.14987982304148617,2,2,predictive
2026-06-05T02:10:21.098275Z,0.12796184420585632,0.161044768296395,2,2,predictive
2026-06-05T02:15:17.922774Z,0.13149575889110565,0.15226375496255642,2,2,predictive
2026-06-05T02:20:23.633657Z,0.14701293408870697,0.120428363614541,2,2,predictive
2026-06-05T02:25:18.468372Z,0.1307518035173416,0.15716538236877256,2,2,predictive
2026-06-05T02:30:30.131669Z,0.14539378881454468,0.14101822275286502,2,2,predictive
2026-06-05T02:35:21.321061Z,0.1293235570192337,0.14927721319917608,2,2,predictive
2026-06-05T02:40:29.884733Z,0.13244184851646423,0.15555961317629222,2,2,predictive
2026-06-05T02:45:13.519619Z,0.14868822693824768,0.16564930205626704,2,2,predictive
2026-06-05T02:50:11.034138Z,0.14723221957683563,0.17109596949361747,2,2,predictive
2026-06-05T02:55:09.381838Z,0.14991672337055206,0.1717963617680183,2,2,predictive
2026-06-05T03:00:19.050537Z,0.13317438960075378,0.15995800334965762,2,2,predictive
2026-06-05T03:05:13.414464Z,0.14865903556346893,0.17489689768700167,2,3,predictive
2026-06-05T03:10:22.245363Z,0.13445307314395905,0.17198815332996917,3,2,predictive
2026-06-05T03:15:21.763580Z,0.0912352055311203,0.17004517220278556,2,2,predictive
2026-06-05T03:20:23.024294Z,0.1322149634361267,0.17072292466380265,2,2,predictive
2026-06-05T03:25:18.462680Z,0.1393616944551468,0.17175804927429808,2,2,predictive
2026-06-05T03:30:22.016738Z,0.12990885972976685,0.1731365174356215,2,2,predictive
2026-06-05T03:35:24.732247Z,0.13022933900356293,0.1576145939993284,2,2,predictive
2026-06-05T03:40:23.619345Z,0.1373595893383026,0.16601098655115176,2,2,predictive
2026-06-05T03:45:22.398179Z,0.12865641713142395,0.1671000693835451,2,2,predictive
2026-06-05T03:50:22.168118Z,0.13004520535469055,0.15567615431090093,2,2,predictive
2026-06-05T03:55:29.942613Z,0.12505681812763214,0.14952284169831034,2,2,predictive
2026-06-05T04:00:10.608418Z,0.14315174520015717,0.15463182553817867,2,2,predictive
2026-06-05T04:05:22.430183Z,0.1301850825548172,0.15980602012623982,2,2,predictive
2026-06-05T04:10:09.776558Z,0.14271067082881927,0.17385973818851763,2,2,predictive
2026-06-05T04:15:07.956346Z,0.15097740292549133,0.172027031819024,2,2,predictive
2026-06-05T04:20:19.607909Z,0.13288989663124084,0.17182466153474799,2,2,predictive
2026-06-05T04:25:08.922091Z,0.1504097878932953,0.1708731559968991,2,2,predictive
2026-06-05T04:30:09.674896Z,0.15193234384059906,0.16416108470435004,2,2,predictive
2026-06-05T04:35:09.418258Z,0.1455908715724945,0.16442605137741623,2,2,predictive
2026-06-05T04:40:21.349335Z,0.13611872494220734,0.1694721558308271,2,2,predictive
2026-06-05T04:45:08.146410Z,0.1503220498561859,0.17112909369677057,2,2,predictive
2026-06-05T04:50:07.783249Z,0.13927675783634186,0.16380612477308343,2,2,predictive
2026-06-05T04:55:22.205659Z,0.14680741727352142,0.15763794804492007,2,2,predictive
2026-06-05T05:00:11.494957Z,0.13230955600738525,0.1638424428070532,2,2,predictive
2026-06-05T05:05:11.824766Z,0.14319656789302826,0.15765856644639456,2,2,predictive
2026-06-05T05:10:18.216427Z,0.1359444111585617,0.14859334259811363,2,2,predictive
2026-06-05T05:15:14.612053Z,0.1466858834028244,0.16614458840227467,4,2,predictive
