Method,MAE,RMSE,MAPE% (filtered),OverProv%,UnderProv%,SLA_Viol%
HPA-Reactive,1.2627038955688477,32.8988057670554,0.221028670668602,0.10975121706724167,0.07582372426986694,0.25330754616872336
Static LSTM,553.2169799804688,682.8046023570726,95.78242492675781,60.138710021972656,21.165557861328125,8.270149074913995
Static Hybrid,541.2587280273438,938.7123494447061,66.33323669433594,1.1306164264678955,78.41619110107422,80.26254984852893
Periodic Retrain,427.6620178222656,433.40806046380817,86.91106414794922,57.048065185546875,5.803842067718506,7.611207147380491
Proposed (EWC+ER),477.1150817871094,481.88441949289046,97.08151245117188,63.756675720214844,6.3631696701049805,7.339072688996525
