seed,mae,std,ci_lo_95,ci_hi_95
42,440.8612060546875,,,
43,393.50042724609375,,,
44,491.7095642089844,,,
45,405.3528747558594,,,
46,466.8828430175781,,,
summary,439.6613830566406,41.10768845990612,388.61944624659884,490.70331986668236
