chunk,mae,rmse,mape
1,4559.4130859375,8303.330416164348,85.20249938964844
2,1724.4034423828125,2855.6512392097184,44.81382751464844
3,370.0216979980469,404.56967879464224,63.5009651184082
4,449.7732849121094,455.70544557312456,141.85772705078125
