Variant,Description,MAE,RMSE
A,LSTM-only (no MLP),475.6930236816406,516.1612514515207
B,MLP-only (no LSTM),461.8298034667969,580.9719227294896
C,Hybrid (no CL),424.8858642578125,440.52262995219667
D,Hybrid + EWC only,423.36993408203125,431.58027208156767
E,Hybrid + ER only,444.540283203125,454.07509015580234
F,Proposed (EWC+ER) [full],477.1150817871094,481.88441949289046
